feature_id,rank,transformation,count,pattern_type
2.33,0,2.33→2.43,2,changes
2.33,0,2.33→1.92,2,changes
2.33,0,2.33→1.70,1,changes
2.33,0,2.33→1.64,1,changes
2.33,0,2.33→2.40,1,changes
2.33,0,2.33→2.50,1,changes
2.33,0,2.33→1.80,1,changes
2.33,0,2.33→1.88,1,changes
2.33,0,2.33→1.69,1,changes
2.33,0,2.33→1.50,1,changes
2.33,0,2.33→1.71,1,changes
2.33,0,2.33→2.42,1,changes
2.33,0,2.33→1.78,1,changes
2.33,0,2.33→2.25,1,changes
2.33,0,2.33→1.89,1,changes
2.33,0,2.33→2.18,1,changes
2.33,0,2.33→1.57,1,changes
2.33,0,2.33→2.82,1,changes
2.33,0,2.33→1.86,1,changes
2.33,0,2.33→1.67,1,changes
2.33,0,2.33→1.83,1,changes
2.33,0,2.33→1.75,1,changes
2.33,0,2.33→2.11,1,changes
2.33,0,2.33→2.38,1,changes
2.33,0,2.33→2.46,1,changes
2.33,0,2.33→2.06,1,changes
2.33,0,2.33→2.14,1,changes
2.33,0,2.33→1.82,1,changes
2.33,0,2.33→2.17,1,changes
2.35,0,2.35→1.83,1,changes
2.36,0,2.36→2.00,5,changes
