feature_id,canonical_value,headline_value,transformation,count
BRANCH-DIFF,2.13,1.79,2.13→1.79,1
BRANCH-DIFF,1.75,1.80,1.75→1.80,1
BRANCH-DIFF,1.92,1.83,1.92→1.83,1
BRANCH-DIFF,2.06,1.75,2.06→1.75,1
BRANCH-DIFF,2.31,1.92,2.31→1.92,1
BRANCH-DIFF,2.24,1.92,2.24→1.92,1
BRANCH-DIFF,2.21,2.08,2.21→2.08,1
BRANCH-DIFF,2.31,2.33,2.31→2.33,1
BRANCH-DIFF,2.15,2.20,2.15→2.20,1
BRANCH-DIFF,2.31,2.10,2.31→2.10,1
BRANCH-DIFF,2.25,1.93,2.25→1.93,1
BRANCH-DIFF,1.92,1.92,1.92→1.92,1
BRANCH-DIFF,2.06,2.08,2.06→2.08,1
BRANCH-DIFF,2.45,2.44,2.45→2.44,1
BRANCH-DIFF,2.19,1.75,2.19→1.75,1
BRANCH-DIFF,1.94,1.83,1.94→1.83,1
BRANCH-DIFF,2.05,1.94,2.05→1.94,1
BRANCH-DIFF,2.42,2.09,2.42→2.09,1
BRANCH-DIFF,2.50,2.14,2.50→2.14,1
BRANCH-DIFF,1.88,1.77,1.88→1.77,1
BRANCH-DIFF,2.33,1.91,2.33→1.91,1
BRANCH-DIFF,1.69,1.58,1.69→1.58,1
BRANCH-DIFF,2.05,2.08,2.05→2.08,1
BRANCH-DIFF,2.08,2.12,2.08→2.12,1
BRANCH-DIFF,2.69,2.42,2.69→2.42,1
BRANCH-DIFF,2.50,2.44,2.50→2.44,1
BRANCH-DIFF,2.16,1.87,2.16→1.87,1
BRANCH-DIFF,2.20,2.29,2.20→2.29,1
BRANCH-DIFF,2.62,2.57,2.62→2.57,1
BRANCH-DIFF,2.50,2.29,2.50→2.29,1
BRANCH-DIFF,1.65,1.50,1.65→1.50,1
BRANCH-DIFF,2.56,2.33,2.56→2.33,1
BRANCH-DIFF,2.40,2.18,2.40→2.18,1
BRANCH-DIFF,2.47,2.00,2.47→2.00,1
BRANCH-DIFF,2.21,1.79,2.21→1.79,1
BRANCH-DIFF,2.43,2.14,2.43→2.14,1
BRANCH-DIFF,2.23,1.91,2.23→1.91,1
BRANCH-DIFF,1.79,1.69,1.79→1.69,1
BRANCH-DIFF,2.07,1.81,2.07→1.81,1
BRANCH-DIFF,1.88,2.11,1.88→2.11,1
BRANCH-DIFF,2.00,1.88,2.00→1.88,1
BRANCH-DIFF,1.88,1.67,1.88→1.67,1
BRANCH-DIFF,2.08,1.64,2.08→1.64,1
BRANCH-DIFF,2.14,1.85,2.14→1.85,1
BRANCH-DIFF,2.50,2.10,2.50→2.10,1
BRANCH-DIFF,2.27,2.56,2.27→2.56,1
BRANCH-DIFF,2.12,1.69,2.12→1.69,1
BRANCH-DIFF,2.20,2.11,2.20→2.11,1
BRANCH-DIFF,2.22,2.12,2.22→2.12,1
BRANCH-DIFF,2.00,1.64,2.00→1.64,1
BRANCH-DIFF,1.92,1.85,1.92→1.85,1
BRANCH-DIFF,2.50,2.09,2.50→2.09,1
BRANCH-DIFF,2.45,2.50,2.45→2.50,1
BRANCH-DIFF,2.25,1.80,2.25→1.80,1
BRANCH-DIFF,2.31,2.25,2.31→2.25,1
BRANCH-DIFF,2.27,2.12,2.27→2.12,1
BRANCH-DIFF,2.11,2.17,2.11→2.17,1
BRANCH-DIFF,1.84,1.71,1.84→1.71,1
BRANCH-DIFF,2.12,1.85,2.12→1.85,1
BRANCH-DIFF,2.23,2.18,2.23→2.18,1
BRANCH-DIFF,2.57,2.33,2.57→2.33,1
BRANCH-DIFF,2.22,2.25,2.22→2.25,1
BRANCH-DIFF,2.17,1.85,2.17→1.85,1
BRANCH-DIFF,3.00,2.44,3.00→2.44,1
BRANCH-DIFF,2.14,1.79,2.14→1.79,1
BRANCH-DIFF,1.86,1.69,1.86→1.69,1
BRANCH-DIFF,2.06,1.86,2.06→1.86,1
BRANCH-DIFF,2.62,2.18,2.62→2.18,1
BRANCH-DIFF,1.90,1.93,1.90→1.93,1
BRANCH-DIFF,2.60,2.22,2.60→2.22,1
BRANCH-DIFF,2.08,2.11,2.08→2.11,1
BRANCH-DIFF,2.22,2.22,2.22→2.22,1
BRANCH-DIFF,2.40,2.25,2.40→2.25,1
BRANCH-DIFF,1.94,1.69,1.94→1.69,1
BRANCH-DIFF,2.00,2.11,2.00→2.11,1
BRANCH-DIFF,2.50,2.20,2.50→2.20,1
BRANCH-DIFF,2.38,2.12,2.38→2.12,1
BRANCH-DIFF,1.85,1.89,1.85→1.89,1
BRANCH-DIFF,1.85,2.00,1.85→2.00,1
BRANCH-DIFF,1.87,1.71,1.87→1.71,1
BRANCH-DIFF,1.89,1.91,1.89→1.91,1
BRANCH-DIFF,2.27,1.93,2.27→1.93,1
BRANCH-DIFF,1.81,1.79,1.81→1.79,1
BRANCH-DIFF,2.46,2.50,2.46→2.50,1
BRANCH-DIFF,2.23,2.08,2.23→2.08,1
BRANCH-DIFF,2.25,2.09,2.25→2.09,1
BRANCH-DIFF,1.85,1.80,1.85→1.80,1
BRANCH-DIFF,2.06,2.18,2.06→2.18,1
BRANCH-DIFF,1.85,1.82,1.85→1.82,1
BRANCH-DIFF,2.43,2.60,2.43→2.60,1
BRANCH-DIFF,1.92,2.30,1.92→2.30,1
BRANCH-DIFF,2.13,2.08,2.13→2.08,1
BRANCH-DIFF,2.30,1.80,2.30→1.80,1
BRANCH-DIFF,2.19,1.81,2.19→1.81,1
BRANCH-DIFF,2.11,2.14,2.11→2.14,1
BRANCH-DIFF,1.89,1.73,1.89→1.73,1
BRANCH-DIFF,1.81,1.71,1.81→1.71,1
BRANCH-DIFF,2.60,2.12,2.60→2.12,1
BRANCH-DIFF,2.07,1.90,2.07→1.90,1
BRANCH-DIFF,2.12,1.75,2.12→1.75,1
BRANCH-DIFF,2.09,1.80,2.09→1.80,1
BRANCH-DIFF,2.18,1.80,2.18→1.80,1
BRANCH-DIFF,2.07,2.17,2.07→2.17,1
BRANCH-DIFF,2.20,2.33,2.20→2.33,1
BRANCH-DIFF,2.08,1.71,2.08→1.71,1
BRANCH-DIFF,1.91,1.74,1.91→1.74,1
BRANCH-DIFF,2.29,2.44,2.29→2.44,1
BRANCH-DIFF,2.28,2.00,2.28→2.00,1
BRANCH-DIFF,2.29,1.86,2.29→1.86,1
BRANCH-DIFF,1.81,1.77,1.81→1.77,1
BRANCH-DIFF,1.87,1.92,1.87→1.92,1
BRANCH-DIFF,2.23,2.50,2.23→2.50,1
BRANCH-DIFF,2.80,2.17,2.80→2.17,1
BRANCH-DIFF,2.10,1.94,2.10→1.94,1
BRANCH-DIFF,2.00,2.17,2.00→2.17,1
BRANCH-DIFF,1.84,1.85,1.84→1.85,1
BRANCH-DIFF,1.88,1.62,1.88→1.62,1
BRANCH-DIFF,2.17,2.09,2.17→2.09,1
BRANCH-DIFF,2.26,1.74,2.26→1.74,1
