pair_unit,frequency
DEP-DIST-DIFF:2.00→2.00,1
BRANCH-DIFF:2.38→2.33,3
DEP-REL-CHG:nmod→flat,7
CONST-COUNT-DIFF:36→26,8
DEP-DIST-DIFF:3.72→2.08,3
BRANCH-DIFF:2.06→1.92,5
FW-ADD:ABSENT→ART-ADD,7
DEP-REL-CHG:obl→det,3
CONST-COUNT-DIFF:30→20,2
DEP-DIST-DIFF:3.35→2.73,1
BRANCH-DIFF:2.42→2.38,1
DEP-REL-CHG:obl→compound,21
DEP-REL-CHG:cc→parataxis,20
TED-KLEIN:18→18,38
CONST-COUNT-DIFF:28→23,12
DEP-DIST-DIFF:3.47→2.45,1
BRANCH-DIFF:2.25→2.00,9
DEP-REL-CHG:advmod→compound,11
CONST-COUNT-DIFF:27→23,15
DEP-DIST-DIFF:2.93→1.82,2
BRANCH-DIFF:2.17→2.00,6
DEP-REL-CHG:advcl→mark,4
DEP-REL-CHG:ccomp→obj,28
CONST-COUNT-DIFF:37→29,7
DEP-DIST-DIFF:3.35→1.83,1
BRANCH-DIFF:1.89→1.75,2
DEP-REL-CHG:advcl→obj,16
CONST-COUNT-DIFF:22→18,9
DEP-DIST-DIFF:2.33→1.50,1
BRANCH-DIFF:1.75→1.55,1
DEP-REL-CHG:appos→case,8
DEP-REL-CHG:punct→compound,77
DEP-REL-CHG:acl→nsubj,3
DEP-REL-CHG:obl:agent→nummod,2
LENGTH-CHG:18→11,12
TED-ZHANG-SHASHA:33→33,5
TREE-DEPTH-DIFF:9→7,38
CONST-COUNT-DIFF:32→21,7
DEP-DIST-DIFF:3.06→1.50,2
BRANCH-DIFF:2.21→2.00,5
DEP-REL-CHG:det→obl:unmarked,4
DEP-REL-CHG:compound→amod,36
DEP-REL-CHG:amod→mark,16
LENGTH-CHG:20→17,3
DEP-DIST-DIFF:3.37→2.81,1
BRANCH-DIFF:2.46→2.23,1
DEP-REL-CHG:compound→det,11
DEP-REL-CHG:mark→amod,26
DEP-REL-CHG:xcomp→nmod,1
CONST-ADD:ABSENT→PP-ADD,23
TOKEN-REORDER:POST→POST,2
TED-KLEIN:33→33,1
CONST-COUNT-DIFF:23→24,1
DEP-DIST-DIFF:2.25→2.08,1
BRANCH-DIFF:2.20→2.09,2
DEP-REL-CHG:amod→advmod,7
DEP-REL-CHG:advmod→amod,6
DEP-REL-CHG:root→parataxis,10
DEP-REL-CHG:cc→obj,16
LENGTH-CHG:15→11,40
CONST-COUNT-DIFF:27→22,16
DEP-DIST-DIFF:2.29→1.80,1
BRANCH-DIFF:2.17→1.91,2
DEP-REL-CHG:aux→nmod:poss,23
TED-KLEIN:8→8,9
CONST-COUNT-DIFF:23→20,7
