feature_id,rank,transformation,count,pattern_type
2.15,0,2.15→1.80,1,changes
2.15,0,2.15→1.89,1,changes
2.15,0,2.15→2.20,1,changes
2.15,0,2.15→1.91,1,changes
2.15,0,2.15→1.75,1,changes
2.15,0,2.15→2.12,1,changes
2.15,0,2.15→1.90,1,changes
2.15,0,2.15→1.73,1,changes
2.16,0,2.16→2.07,1,changes
2.16,0,2.16→1.87,1,changes
2.16,0,2.16→2.00,1,changes
2.16,0,2.16→1.88,1,changes
2.17,0,2.17→2.00,6,changes
2.17,0,2.17→2.10,3,changes
2.17,0,2.17→1.91,2,changes
2.17,0,2.17→1.92,2,changes
2.17,0,2.17→1.90,2,changes
2.17,0,2.17→1.73,2,changes
2.17,0,2.17→1.70,1,changes
2.17,0,2.17→1.60,1,changes
2.17,0,2.17→1.79,1,changes
2.17,0,2.17→1.78,1,changes
2.17,0,2.17→1.50,1,changes
2.17,0,2.17→1.62,1,changes
2.17,0,2.17→1.85,1,changes
2.17,0,2.17→2.09,1,changes
2.17,0,2.17→1.75,1,changes
2.17,0,2.17→1.83,1,changes
2.17,0,2.17→2.07,1,changes
2.17,0,2.17→1.93,1,changes
2.17,0,2.17→1.89,1,changes
2.17,0,2.17→2.20,1,changes
2.18,0,2.18→2.00,17,changes
2.18,0,2.18→1.90,3,changes
2.18,0,2.18→1.62,2,changes
2.18,0,2.18→2.25,2,changes
2.18,0,2.18→1.91,2,changes
2.18,0,2.18→1.88,2,changes
2.18,0,2.18→1.89,2,changes
2.18,0,2.18→2.11,2,changes
2.18,0,2.18→1.50,1,changes
2.18,0,2.18→1.38,1,changes
2.18,0,2.18→2.12,1,changes
2.18,0,2.18→1.86,1,changes
2.18,0,2.18→1.80,1,changes
2.18,0,2.18→2.10,1,changes
2.18,0,2.18→1.87,1,changes
2.18,0,2.18→1.93,1,changes
2.18,0,2.18→1.83,1,changes
2.18,0,2.18→1.92,1,changes
2.19,0,2.19→1.92,2,changes
2.19,0,2.19→2.00,2,changes
2.19,0,2.19→2.62,1,changes
2.19,0,2.19→1.75,1,changes
2.19,0,2.19→1.81,1,changes
2.19,0,2.19→2.08,1,changes
2.19,0,2.19→2.18,1,changes
2.19,0,2.19→1.78,1,changes
2.20,0,2.20→2.00,6,changes
2.20,0,2.20→1.91,4,changes
2.20,0,2.20→1.92,2,changes
2.20,0,2.20→2.09,2,changes
2.20,0,2.20→2.12,2,changes
2.20,0,2.20→2.14,2,changes
2.20,0,2.20→1.83,2,changes
2.20,0,2.20→2.10,2,changes
2.20,0,2.20→2.08,1,changes
2.20,0,2.20→1.88,1,changes
2.20,0,2.20→1.50,1,changes
2.20,0,2.20→1.57,1,changes
2.20,0,2.20→1.45,1,changes
2.20,0,2.20→1.85,1,changes
2.20,0,2.20→1.86,1,changes
2.20,0,2.20→2.29,1,changes
2.20,0,2.20→2.11,1,changes
2.20,0,2.20→2.33,1,changes
2.20,0,2.20→1.82,1,changes
2.21,0,2.21→2.00,5,changes
2.21,0,2.21→1.92,3,changes
2.21,0,2.21→1.82,2,changes
2.21,0,2.21→1.73,1,changes
2.21,0,2.21→2.10,1,changes
2.21,0,2.21→1.62,1,changes
2.21,0,2.21→2.08,1,changes
2.21,0,2.21→1.79,1,changes
2.21,0,2.21→1.93,1,changes
2.21,0,2.21→1.86,1,changes
2.21,0,2.21→1.85,1,changes
2.22,0,2.22→2.00,5,changes
2.22,0,2.22→2.14,1,changes
2.22,0,2.22→1.83,1,changes
2.22,0,2.22→1.90,1,changes
2.22,0,2.22→1.80,1,changes
2.22,0,2.22→2.12,1,changes
2.22,0,2.22→2.25,1,changes
2.22,0,2.22→1.86,1,changes
2.22,0,2.22→1.88,1,changes
2.22,0,2.22→2.11,1,changes
2.23,0,2.23→2.00,5,changes
2.23,0,2.23→1.60,3,changes
2.23,0,2.23→1.85,3,changes
2.23,0,2.23→2.20,2,changes
2.23,0,2.23→1.40,1,changes
2.23,0,2.23→1.78,1,changes
2.23,0,2.23→1.70,1,changes
2.23,0,2.23→1.33,1,changes
2.23,0,2.23→1.38,1,changes
2.23,0,2.23→1.50,1,changes
2.23,0,2.23→1.92,1,changes
2.23,0,2.23→1.91,1,changes
2.23,0,2.23→2.18,1,changes
2.23,0,2.23→2.08,1,changes
2.23,0,2.23→2.50,1,changes
2.23,0,2.23→1.76,1,changes
2.24,0,2.24→2.07,2,changes
2.24,0,2.24→1.92,1,changes
2.24,0,2.24→2.00,1,changes
2.25,0,2.25→2.00,9,changes
2.25,0,2.25→1.92,5,changes
2.25,0,2.25→2.10,5,changes
2.25,0,2.25→2.08,2,changes
2.25,0,2.25→2.14,2,changes
2.25,0,2.25→2.30,2,changes
2.25,0,2.25→2.54,1,changes
2.25,0,2.25→2.23,1,changes
2.25,0,2.25→1.56,1,changes
2.25,0,2.25→2.12,1,changes
2.25,0,2.25→1.88,1,changes
2.25,0,2.25→1.70,1,changes
2.25,0,2.25→1.62,1,changes
2.25,0,2.25→1.67,1,changes
2.25,0,2.25→2.11,1,changes
2.25,0,2.25→1.93,1,changes
2.25,0,2.25→1.80,1,changes
2.25,0,2.25→2.09,1,changes
2.25,0,2.25→1.86,1,changes
2.25,0,2.25→1.90,1,changes
2.25,0,2.25→1.94,1,changes
2.25,0,2.25→2.44,1,changes
2.25,0,2.25→1.91,1,changes
2.26,0,2.26→1.74,1,changes
2.26,0,2.26→2.00,1,changes
2.27,0,2.27→2.00,5,changes
2.27,0,2.27→1.67,4,changes
2.27,0,2.27→2.11,3,changes
2.27,0,2.27→2.10,3,changes
2.27,0,2.27→1.50,2,changes
2.27,0,2.27→1.91,2,changes
2.27,0,2.27→2.22,2,changes
2.27,0,2.27→1.78,1,changes
2.27,0,2.27→1.83,1,changes
2.27,0,2.27→1.75,1,changes
2.27,0,2.27→2.38,1,changes
2.27,0,2.27→2.56,1,changes
2.27,0,2.27→2.12,1,changes
2.27,0,2.27→1.93,1,changes
2.27,0,2.27→1.92,1,changes
2.27,0,2.27→2.15,1,changes
2.27,0,2.27→2.25,1,changes
2.27,0,2.27→2.08,1,changes
2.27,0,2.27→1.90,1,changes
2.28,0,2.28→2.08,1,changes
2.28,0,2.28→2.00,1,changes
2.28,0,2.28→2.14,1,changes
2.29,0,2.29→2.00,6,changes
2.29,0,2.29→1.60,2,changes
2.29,0,2.29→1.93,2,changes
2.29,0,2.29→1.80,1,changes
2.29,0,2.29→2.33,1,changes
2.29,0,2.29→2.30,1,changes
2.29,0,2.29→2.44,1,changes
2.29,0,2.29→1.86,1,changes
2.29,0,2.29→2.57,1,changes
2.29,0,2.29→1.91,1,changes
2.29,0,2.29→2.18,1,changes
2.29,0,2.29→2.27,1,changes
2.29,0,2.29→1.92,1,changes
2.30,0,2.30→2.00,9,changes
2.30,0,2.30→2.11,4,changes
2.30,0,2.30→2.12,3,changes
2.30,0,2.30→2.29,3,changes
2.30,0,2.30→2.10,2,changes
2.30,0,2.30→1.43,1,changes
2.30,0,2.30→1.75,1,changes
2.30,0,2.30→1.86,1,changes
2.30,0,2.30→1.80,1,changes
2.30,0,2.30→1.91,1,changes
2.30,0,2.30→1.90,1,changes
2.31,0,2.31→2.00,8,changes
2.31,0,2.31→1.60,2,changes
2.31,0,2.31→1.70,2,changes
2.31,0,2.31→2.08,2,changes
2.31,0,2.31→2.20,1,changes
2.31,0,2.31→2.86,1,changes
2.31,0,2.31→1.89,1,changes
2.31,0,2.31→1.80,1,changes
2.31,0,2.31→2.27,1,changes
2.31,0,2.31→1.92,1,changes
2.31,0,2.31→2.33,1,changes
2.31,0,2.31→2.10,1,changes
2.31,0,2.31→2.25,1,changes
2.31,0,2.31→2.09,1,changes
2.31,0,2.31→2.17,1,changes
2.33,0,2.33→2.00,7,changes
