pair_unit,frequency
BRANCH-DIFF:1.89→2.17,1
DEP-REL-CHG:root→xcomp,23
DEP-REL-CHG:xcomp→case,9
LENGTH-CHG:12→10,13
TED-ZHANG-SHASHA:5→5,45
TED-KLEIN:5→5,21
TED-RTED:5→5,46
TREE-DEPTH-DIFF:8→8,49
CONST-COUNT-DIFF:25→23,3
DEP-DIST-DIFF:2.27→1.89,1
BRANCH-DIFF:1.85→1.69,1
DEP-REL-CHG:det→vocative,2
DEP-REL-CHG:root→ccomp,3
DEP-REL-CHG:cc→advmod,2
DEP-REL-CHG:conj→root,2
DEP-REL-CHG:ccomp→nsubj,1
LENGTH-CHG:16→12,8
TED-ZHANG-SHASHA:28→28,4
TED-RTED:32→32,2
CONST-COUNT-DIFF:30→23,3
DEP-DIST-DIFF:3.20→2.36,1
BRANCH-DIFF:2.07→2.00,2
FORM-CHG:'s→’s,36
TED-SIMPLE:9→9,54
TED-ZHANG-SHASHA:7→7,55
TED-KLEIN:8→8,38
CONST-COUNT-DIFF:22→24,3
DEP-DIST-DIFF:2.36→2.36,1
BRANCH-DIFF:2.10→1.92,1
POS-CHG:NOUN→ADJ,8
DEP-REL-CHG:det→nsubj:pass,14
DEP-REL-CHG:aux:pass→mark,15
DEP-REL-CHG:obl→conj,3
DEP-REL-CHG:advcl→case,9
DEP-REL-CHG:cc→obl,1
LENGTH-CHG:13→9,26
TREE-DEPTH-DIFF:9→11,1
DEP-DIST-DIFF:2.42→1.62,2
BRANCH-DIFF:2.09→1.67,1
DEP-REL-CHG:nsubj→amod,17
LENGTH-CHG:11→6,12
CONST-COUNT-DIFF:19→12,7
DEP-DIST-DIFF:2.30→2.20,1
BRANCH-DIFF:2.25→1.83,2
LENGTH-CHG:7→5,24
CONST-COUNT-DIFF:14→11,11
DEP-DIST-DIFF:2.17→1.75,2
BRANCH-DIFF:1.86→1.67,6
TED-RTED:14→14,43
CONST-COUNT-DIFF:18→13,7
DEP-DIST-DIFF:3.00→2.00,2
BRANCH-DIFF:2.43→2.00,5
DEP-REL-CHG:aux→appos,3
DEP-REL-CHG:root→flat,3
DEP-REL-CHG:acl→obl,3
HEAD-CHG:5→6,5
CONST-COUNT-DIFF:22→19,6
DEP-DIST-DIFF:2.27→2.43,1
BRANCH-DIFF:2.10→1.64,2
DEP-REL-CHG:nsubj:pass→acl,23
DEP-REL-CHG:obl→root,4
DEP-REL-CHG:aux:pass→nummod,8
CONST-COUNT-DIFF:25→19,8
DEP-DIST-DIFF:2.17→1.88,2
BRANCH-DIFF:2.00→1.80,43
DEP-REL-CHG:cc→mark,1
DEP-REL-CHG:det→aux:pass,2
DEP-REL-CHG:nsubj:pass→advcl,2
DEP-REL-CHG:aux→compound:prt,5
TED-KLEIN:27→27,5
TREE-DEPTH-DIFF:8→11,3
CONST-COUNT-DIFF:28→24,2
DEP-DIST-DIFF:2.92→2.00,3
BRANCH-DIFF:1.93→1.64,1
DEP-REL-CHG:compound→nsubj:pass,4
DEP-REL-CHG:nsubj→aux,11
DEP-REL-CHG:aux→aux:pass,6
DEP-REL-CHG:mark→punct,7
DEP-REL-CHG:nsubj:pass→parataxis,1
CONST-COUNT-DIFF:23→16,8
DEP-DIST-DIFF:2.82→1.86,1
BRANCH-DIFF:2.00→1.88,16
LENGTH-CHG:10→7,41
DEP-DIST-DIFF:2.22→1.33,1
BRANCH-DIFF:1.90→1.75,4
DEP-REL-CHG:aux:pass→nsubj:outer,1
DEP-REL-CHG:root→cop,2
DEP-REL-CHG:nsubj:pass→obj,3
TREE-DEPTH-DIFF:14→8,1
CONST-COUNT-DIFF:32→17,1
DEP-DIST-DIFF:2.93→2.25,1
BRANCH-DIFF:1.94→2.00,1
LENGTH-CHG:13→8,9
TREE-DEPTH-DIFF:9→9,30
CONST-COUNT-DIFF:23→18,6
DEP-DIST-DIFF:2.83→2.14,1
BRANCH-DIFF:2.20→1.70,1
FORM-CHG:thrashed→thrash,2
DEP-REL-CHG:det→obj,33
FEAT-CHG:Tense=Past→Tense=Pres,27
DEP-DIST-DIFF:2.00→1.20,2
DEP-REL-CHG:aux:pass→amod,11
DEP-REL-CHG:root→dislocated,1
DEP-REL-CHG:amod→nsubj,15
DEP-REL-CHG:amod→cop,1
TREE-DEPTH-DIFF:10→5,1
CONST-COUNT-DIFF:25→15,1
DEP-DIST-DIFF:3.42→2.38,1
BRANCH-DIFF:2.00→2.33,1
DEP-REL-CHG:root→obj,83
LENGTH-CHG:9→5,25
TED-ZHANG-SHASHA:11→11,59
CONST-COUNT-DIFF:15→10,5
BRANCH-DIFF:2.33→1.80,3
DEP-REL-CHG:aux→nsubj,10
DEP-REL-CHG:aux:pass→aux,1
DEP-REL-CHG:mark→det,3
DEP-REL-CHG:aux→xcomp,5
TED-RTED:20→20,12
TREE-DEPTH-DIFF:11→6,2
CONST-COUNT-DIFF:25→14,1
DEP-DIST-DIFF:2.73→2.29,1
BRANCH-DIFF:1.85→2.17,1
TREE-DEPTH-DIFF:11→10,14
BRANCH-DIFF:1.83→1.55,4
LENGTH-CHG:9→6,25
DEP-DIST-DIFF:2.25→1.60,2
BRANCH-DIFF:1.89→1.62,6
DEP-REL-CHG:compound→obl,27
CONST-COUNT-DIFF:21→16,21
DEP-DIST-DIFF:3.27→2.43,1
BRANCH-DIFF:2.22→1.88,4
DEP-REL-CHG:root→nmod:poss,10
DEP-REL-CHG:det→obl:agent,1
DEP-REL-CHG:obl:agent→case,1
CONST-COUNT-DIFF:27→19,3
DEP-DIST-DIFF:2.31→1.88,1
CONST-COUNT-DIFF:22→13,2
DEP-DIST-DIFF:2.40→2.20,3
BRANCH-DIFF:1.91→1.71,2
DEP-REL-CHG:det→compound:prt,2
DEP-REL-CHG:ccomp→mark,3
DEP-REL-CHG:mark→advcl,13
DEP-REL-CHG:xcomp→amod,6
DEP-REL-CHG:compound:prt→obj,8
LENGTH-CHG:20→13,1
TREE-DEPTH-DIFF:17→12,1
CONST-COUNT-DIFF:40→27,1
DEP-DIST-DIFF:2.89→2.50,1
BRANCH-DIFF:1.95→1.86,1
DEP-REL-CHG:obj→nummod,6
DEP-REL-CHG:nummod→obl:unmarked,2
LENGTH-CHG:11→8,28
PUNCT-ADD:→slash,2
CONST-COUNT-DIFF:20→16,8
DEP-DIST-DIFF:2.20→2.00,5
BRANCH-DIFF:2.11→1.88,4
DEP-REL-CHG:cop→parataxis,1
DEP-REL-CHG:root→obl:unmarked,7
TED-SIMPLE:5→5,25
DEP-DIST-DIFF:2.14→2.20,1
BRANCH-DIFF:1.88→1.71,4
TREE-DEPTH-DIFF:10→8,21
CONST-COUNT-DIFF:26→19,1
DEP-DIST-DIFF:2.08→1.29,1
BRANCH-DIFF:1.92→1.64,1
POS-CHG:NOUN→VERB,30
DEP-REL-CHG:amod→mark,4
DEP-REL-CHG:obj→nsubj,4
DEP-REL-CHG:advcl→xcomp,4
DEP-REL-CHG:mark→compound:prt,4
DEP-REL-CHG:xcomp→obj,17
LENGTH-CHG:15→12,6
CONST-COUNT-DIFF:30→26,1
DEP-DIST-DIFF:2.57→1.73,1
BRANCH-DIFF:1.93→1.79,1
CONST-COUNT-DIFF:20→14,7
DEP-DIST-DIFF:3.30→2.50,1
BRANCH-DIFF:2.11→1.86,2
DEP-REL-CHG:punct→appos,8
LENGTH-CHG:17→11,3
TREE-DEPTH-DIFF:8→10,8
CONST-COUNT-DIFF:30→24,2
DEP-DIST-DIFF:3.25→1.60,1
BRANCH-DIFF:2.23→1.77,1
LENGTH-CHG:9→4,3
CONST-COUNT-DIFF:18→10,5
DEP-DIST-DIFF:2.12→1.33,1
BRANCH-DIFF:1.89→1.50,2
DEP-REL-CHG:cop→case,34
DEP-REL-CHG:obl→cc,2
DEP-REL-CHG:nummod→nmod,4
CONST-COUNT-DIFF:20→12,1
DEP-DIST-DIFF:2.00→1.50,45
